Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2011","2011","ha","11528000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2012","2012","ha","11423000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2013","2013","ha","11372000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2014","2014","ha","11415642","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2015","2015","ha","11381221","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2016","2016","ha","11000809","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2017","2017","ha","11615000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2018","2018","ha","11515000","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2019","2019","ha","11515545","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2020","2020","ha","11417745","A","Official figure"
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","0113","Rice","2021","2021","ha","11700939","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2011","2011","ha","2752891","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2012","2012","ha","2413288","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2013","2013","ha","2353152","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2014","2014","ha","2340878","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2015","2015","ha","2138397","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2016","2016","ha","1943938","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2017","2017","ha","2006202","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2018","2018","ha","1872155","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2019","2019","ha","1710063","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2020","2020","ha","1677705","A","Official figure"
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2021","2021","ha","1689189","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2011","2011","ha","30057040","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2012","2012","ha","30137110","A","Official figure"
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","0113","Rice","2013","2013","ha","30311750","A","Official figure"
