,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
9,QCL,Crops and livestock products,50,Bangladesh,5312,Area harvested,113,Rice,2020,2020,ha,11417745,A,Official figure
20,QCL,Crops and livestock products,76,Brazil,5312,Area harvested,113,Rice,2020,2020,ha,1677705,A,Official figure
31,QCL,Crops and livestock products,156,"China, mainland",5312,Area harvested,113,Rice,2020,2020,ha,30080000,A,Official figure
42,QCL,Crops and livestock products,356,India,5312,Area harvested,113,Rice,2020,2020,ha,45070000,A,Official figure
53,QCL,Crops and livestock products,360,Indonesia,5312,Area harvested,113,Rice,2020,2020,ha,10657275,A,Official figure
64,QCL,Crops and livestock products,392,Japan,5312,Area harvested,113,Rice,2020,2020,ha,1462000,A,Official figure
75,QCL,Crops and livestock products,104,Myanmar,5312,Area harvested,113,Rice,2020,2020,ha,6829904,A,Official figure
86,QCL,Crops and livestock products,608,Philippines,5312,Area harvested,113,Rice,2020,2020,ha,4718896,A,Official figure
97,QCL,Crops and livestock products,764,Thailand,5312,Area harvested,113,Rice,2020,2020,ha,10401653,A,Official figure
108,QCL,Crops and livestock products,704,Viet Nam,5312,Area harvested,113,Rice,2020,2020,ha,7222403,A,Official figure
